seq_name,primary_matches,potential_primaries,control_matches,potential_controls,rate_ratio,fisher_p
F1.AR.1993.AR21280.U68524,2.0,20.0,3.0,14.0,0.47,0.920857
B.SE.1989.SE_P2.2089.EU010299,0.0,25.0,1.0,24.0,0.00,1
C.SE.-.SE8684.U76157,3.0,27.0,4.0,19.0,0.53,0.909119
B.SE.1996.SE_P18.11017.EU010275,0.0,22.0,4.0,23.0,0.00,1
D.SE.1993.SE6937E.L40746,3.0,13.0,3.0,19.0,1.46,0.469622
A1.UG.-.PP131A_A0206_econB25s1.JF294892,5.0,35.0,9.0,43.0,0.68,0.854919
C.SE.-.SE8056.U76120,2.0,20.0,1.0,12.0,1.20,0.689516
A.SE.-.SE8735.U76159,2.0,18.0,2.0,21.0,1.17,0.636175
B.DK.2000.PT300_0.AM285214,12.0,42.0,4.0,40.0,2.86,0.03134
A.SE.-.SE8891.U76160,1.0,25.0,8.0,26.0,0.13,0.998973
B.IT.-.A_193_4361_10.L08322,0.0,12.0,1.0,20.0,0.00,1
B.AR.1993.AR20021.U68523,1.0,19.0,2.0,14.0,0.37,0.933284
B.SE.1994.p6_6767_1994.U68502,1.0,18.0,1.0,17.0,0.94,0.771429
B.IT.1991.A_204.L08311,0.0,8.0,0.0,8.0,undef,1
A.SE.-.SE9572.U76182,2.0,22.0,6.0,27.0,0.41,0.951757
G.SE.1993.6167G.L40753,7.0,36.0,5.0,32.0,1.24,0.464526
A1.UG.-.PP31A_B0098_econB5.JF294802,3.0,38.0,6.0,42.0,0.55,0.896952
D.SE.-.SE8681.U76156,3.0,23.0,4.0,25.0,0.82,0.755587
H.SE.-.SE9530.U76126,1.0,12.0,4.0,19.0,0.40,0.931564
B.SE.1996.SE_P11.9646.EU010302,2.0,19.0,1.0,16.0,1.68,0.566081
B.DK.2000.PT263_0.AM285114,0.0,19.0,1.0,28.0,0.00,1
B.SE.1994.SE_P3.7664.EU010292,0.0,25.0,0.0,17.0,undef,1
D.SE.-.SE8564.U76150,5.0,18.0,1.0,15.0,4.17,0.132799
B.SE.1988.p3_529_1988.U68500,2.0,18.0,4.0,18.0,0.50,0.91129
B.SE.2002.SE_P67.24046.EU010336,1.0,26.0,2.0,27.0,0.52,0.875139
B.SE.1995.SE_P5.8460.EU010293,0.0,25.0,0.0,24.0,undef,1
B.SE.1994.p7_6760_1994.U68503,3.0,18.0,5.0,18.0,0.60,0.885762
C.LV.1999.99LV_HET060_1998_V3.EU702674,3.0,24.0,8.0,27.0,0.42,0.968314
01_AE.VN.-.HP10.FJ009365,1.0,18.0,6.0,21.0,0.19,0.99244
D.SE.-.SE9048.U76172,1.0,15.0,6.0,24.0,0.27,0.977498
C.SE.-.SE8879.U76169,3.0,26.0,3.0,18.0,0.69,0.824929
B.IT.1991.A_204_4500.L08296,0.0,8.0,0.0,9.0,undef,1
B.IT.1991.A_190_4362.L08291,0.0,5.0,0.0,10.0,undef,1
D.SE.1993.SE6937G.L40756,4.0,31.0,3.0,38.0,1.63,0.38511
B.SE.1998.SE_P29.13445.EU010283,1.0,23.0,3.0,24.0,0.35,0.940426
B.GL.1999.GRL21.AM285048,0.0,24.0,1.0,25.0,0.00,1
B.SE.1987.p2_135_1987.U68498,2.0,19.0,2.0,17.0,0.89,0.74026
B.SE.1987.p1_136_1987.U68496,2.0,17.0,2.0,16.0,0.94,0.722874
A6.LV.2005.05LV_S2131_2005_v3_A1.FJ429464,2.0,23.0,4.0,27.0,0.59,0.864525
A1.KE.-.PP124A_B0515_econB23s2.JF294135,5.0,33.0,6.0,44.0,1.11,0.551172
C.SE.-.SE9279.U76174,2.0,17.0,5.0,20.0,0.47,0.92847
B.GL.1999.GRL6.AM285127,2.0,44.0,2.0,40.0,0.91,0.727334
B.GL.1999.GRL30.AM285055,3.0,25.0,2.0,25.0,1.50,0.5
B.SE.-.SE8875.U76167,1.0,22.0,0.0,19.0,inf,0.536585
G.SE.1993.SE6165G_6165G.L40752,7.0,36.0,5.0,34.0,1.32,0.418632
D.UG.-.PP114A_B0550gconB21s2.HQ423753,5.0,91.0,8.0,95.0,0.65,0.857825
B.GL.2002.GRL76.AM285085,1.0,26.0,4.0,24.0,0.23,0.979939
B.LV.2002.02LV_MSM030_1990_V3.EU702729,3.0,24.0,5.0,27.0,0.68,0.83474
A6.LV.2005.05LV_IDU_S2064_2005_v3_A1.FJ429424,3.0,27.0,4.0,25.0,0.69,0.821272
D.KE.-.PP108A_B0647_econB21.JF293653,3.0,29.0,7.0,45.0,0.67,0.83797
B.SE.1996.SE_P8.9430.EU010294,1.0,14.0,1.0,24.0,1.71,0.607397
B.SE.1997.SE_P27.13171.EU010281,2.0,19.0,2.0,26.0,1.37,0.568106
A.SE.-.SE7172.U76118,3.0,15.0,5.0,18.0,0.72,0.822075
B.SE.1987.5032GA.L39044,1.0,30.0,0.0,34.0,inf,0.46875
C.ZA.-.PP96A_B0820_econ_B12.JF294466,3.0,28.0,8.0,36.0,0.48,0.941764
B.SE.1995.SE_P4.8320.EU010297,0.0,26.0,2.0,24.0,0.00,1
B.GL.2004.GRL104.AM285094,2.0,23.0,3.0,26.0,0.75,0.785184
B.GL.1999.GRL54.AM285068,2.0,24.0,2.0,24.0,1.00,0.695745
B.IT.-.A_145_J3344.L08300,0.0,8.0,1.0,8.0,0.00,1
A6.LV.2005.05LV_IDU_S2142_2005_v3_A1.FJ429469,2.0,24.0,5.0,28.0,0.47,0.923565
A6.LV.2005.05LV_IDU_S2114_2005_v3_A1.FJ429453,2.0,23.0,6.0,28.0,0.41,0.952351
B.IT.1989.A_115.L08304,0.0,10.0,1.0,8.0,0.00,1
B.IT.-.A_130_2865.L08288,0.0,9.0,0.0,7.0,undef,1
A1.KE.-.PP123A_B0948_econB23.JF294794,3.0,31.0,8.0,44.0,0.53,0.91543
C.BW.-.PP36A_A0516_econb6.JF293810,2.0,35.0,8.0,44.0,0.31,0.981055
01_AE.VN.2002.02VN103.AY283421,2.0,25.0,8.0,25.0,0.25,0.99471
A6.LV.2000.00LV_N0128.AY290962,5.0,47.0,9.0,46.0,0.54,0.93322
